veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,severity,frequincy,pure_premium
1440.0,0.03,0,0,0.0,HBACK,2,F,C,1,0.0,0.0,0.0
1349.0,0.46,0,0,0.0,HBACK,1,F,C,5,0.0,0.0,0.0
1390.0,0.32,0,0,0.0,HBACK,3,F,C,2,0.0,0.0,0.0
1000.0,0.29,0,0,0.0,STNWG,4,M,C,3,0.0,0.0,0.0
1510.0,0.07,0,0,0.0,HBACK,2,F,C,2,0.0,0.0,0.0
4450.0,0.59,0,0,0.0,STNWG,1,F,C,3,0.0,0.0,0.0
2170.0,0.54,0,0,0.0,SEDAN,2,F,A,4,0.0,0.0,0.0
870.0,0.85,0,0,0.0,HBACK,3,M,D,3,0.0,0.0,0.0
4090.0,0.85,0,0,0.0,UTE,1,M,A,2,0.0,0.0,0.0
1310.0,0.41,0,0,0.0,HBACK,2,M,C,1,0.0,0.0,0.0
1900.0,0.85,0,0,0.0,SEDAN,1,F,A,4,0.0,0.0,0.0
2420.0,0.58,0,0,0.0,SEDAN,1,F,A,4,0.0,0.0,0.0
1050.0,0.42,0,0,0.0,HDTOP,4,F,C,6,0.0,0.0,0.0
1420.0,0.59,0,0,0.0,TRUCK,3,M,D,4,0.0,0.0,0.0
3000.0,0.85,0,0,0.0,STNWG,3,M,B,3,0.0,0.0,0.0
1890.0,0.65,1,2,1811.7099972,STNWG,3,M,F,2,906.0,3.06,2769.0
2610.0,0.25,0,0,0.0,STNWG,2,M,B,4,0.0,0.0,0.0
930.0,0.54,0,0,0.0,COUPE,4,F,A,4,0.0,0.0,0.0
1490.0,0.41,0,0,0.0,HBACK,2,F,C,2,0.0,0.0,0.0
3100.0,0.46,0,0,0.0,HDTOP,1,F,C,3,0.0,0.0,0.0
1940.0,0.54,0,0,0.0,SEDAN,1,M,A,6,0.0,0.0,0.0
2234.0,0.85,0,0,0.0,SEDAN,1,M,C,2,0.0,0.0,0.0
1620.0,0.85,0,0,0.0,SEDAN,2,F,B,4,0.0,0.0,0.0
2140.0,0.54,0,0,0.0,HDTOP,3,M,D,4,0.0,0.0,0.0
1770.0,0.25,0,0,0.0,HBACK,2,F,E,1,0.0,0.0,0.0
4030.0000000000005,0.46,0,0,0.0,STNWG,1,M,F,2,0.0,0.0,0.0
2650.0,0.1,0,0,0.0,SEDAN,1,F,C,3,0.0,0.0,0.0
1130.0,0.3,0,0,0.0,STNWG,4,M,A,1,0.0,0.0,0.0
1530.0,0.17,0,0,0.0,SEDAN,3,F,D,3,0.0,0.0,0.0
1050.0,0.91,0,0,0.0,HBACK,2,F,F,3,0.0,0.0,0.0
880.0,0.54,0,0,0.0,COUPE,4,M,B,4,0.0,0.0,0.0
2900.0,0.85,0,0,0.0,STNWG,3,M,B,5,0.0,0.0,0.0
2670.0,0.54,0,0,0.0,HBACK,1,F,A,2,0.0,0.0,0.0
830.0,0.34,0,0,0.0,SEDAN,4,M,C,5,0.0,0.0,0.0
700.0,0.25,0,0,0.0,SEDAN,4,F,C,1,0.0,0.0,0.0
1150.0,0.91,0,0,0.0,STNWG,3,F,A,3,0.0,0.0,0.0
990.0,0.32,0,0,0.0,HBACK,3,F,B,3,0.0,0.0,0.0
1750.0,0.97,0,0,0.0,SEDAN,2,F,B,2,0.0,0.0,0.0
2650.0,0.1,0,0,0.0,SEDAN,1,F,C,3,0.0,0.0,0.0
4059.9999999999995,0.85,1,1,5434.4399872,STNWG,2,M,F,3,5434.0,1.17,6382.0
1390.0,0.32,1,1,865.78999901,HBACK,3,F,A,4,866.0,3.15,2726.0
1190.0,0.91,0,0,0.0,HBACK,2,F,B,5,0.0,0.0,0.0
1190.0,0.91,0,0,0.0,HBACK,2,F,A,1,0.0,0.0,0.0
790.0,0.35,0,0,0.0,HBACK,3,F,B,2,0.0,0.0,0.0
1740.0,0.85,0,0,0.0,HBACK,2,F,C,3,0.0,0.0,0.0
770.0,0.09,0,0,0.0,COUPE,4,M,C,2,0.0,0.0,0.0
2580.0,0.03,0,0,0.0,HBACK,2,M,A,5,0.0,0.0,0.0
790.0,0.03,0,0,0.0,SEDAN,3,F,E,3,0.0,0.0,0.0
1790.0,0.67,0,0,0.0,UTE,4,F,E,3,0.0,0.0,0.0
1790.0,0.05,0,0,0.0,HBACK,1,M,C,6,0.0,0.0,0.0
1900.0,0.85,0,0,0.0,HBACK,1,M,C,1,0.0,0.0,0.0
1840.0,0.1,0,0,0.0,STNWG,4,M,A,3,0.0,0.0,0.0
390.0,0.03,0,0,0.0,HBACK,4,F,B,4,0.0,0.0,0.0
5390.0,0.02,0,0,0.0,STNWG,2,M,A,5,0.0,0.0,0.0
1430.0,0.03,0,0,0.0,SEDAN,2,F,B,4,0.0,0.0,0.0
2330.0,0.23,0,0,0.0,MIBUS,3,F,C,3,0.0,0.0,0.0
3680.0,0.35,0,0,0.0,UTE,1,F,E,2,0.0,0.0,0.0
3430.0,0.32,0,0,0.0,STNWG,2,F,D,2,0.0,0.0,0.0
1130.0,0.23,0,0,0.0,SEDAN,3,M,A,3,0.0,0.0,0.0
2650.0,0.32,0,0,0.0,HDTOP,3,M,F,5,0.0,0.0,0.0
1980.0,0.23,0,0,0.0,UTE,3,M,A,2,0.0,0.0,0.0
680.0,0.25,0,0,0.0,HBACK,3,F,E,3,0.0,0.0,0.0
1150.0,0.67,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0,0.0
3190.0,1.0,0,0,0.0,HDTOP,3,M,F,4,0.0,0.0,0.0
1140.0,0.34,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0,0.0
1430.0,0.22,0,0,0.0,SEDAN,2,F,C,4,0.0,0.0,0.0
1220.0,0.78,0,0,0.0,HDTOP,4,F,D,2,0.0,0.0,0.0
1750.0,0.24,0,0,0.0,SEDAN,2,M,A,4,0.0,0.0,0.0
380.0,0.75,0,0,0.0,HBACK,4,F,A,2,0.0,0.0,0.0
4700.0,0.23,0,0,0.0,STNWG,2,M,D,2,0.0,0.0,0.0
2660.0,0.32,1,1,1105.7699986,STNWG,1,F,F,5,1106.0,3.15,3482.0
1590.0,0.23,0,0,0.0,SEDAN,1,F,A,1,0.0,0.0,0.0
540.0,0.03,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0,0.0
500.0,0.07,1,1,200.0,HBACK,4,F,A,5,200.0,14.05,2810.0
1300.0,0.23,0,0,0.0,HBACK,2,F,B,1,0.0,0.0,0.0
1410.0,0.03,0,0,0.0,HBACK,2,F,C,4,0.0,0.0,0.0
1750.0,0.32,0,0,0.0,HBACK,2,F,B,4,0.0,0.0,0.0
2290.0,0.03,0,0,0.0,UTE,2,M,C,2,0.0,0.0,0.0
4640.0,0.22,0,0,0.0,STNWG,1,F,D,3,0.0,0.0,0.0
800.0,0.28,0,0,0.0,HBACK,3,M,C,6,0.0,0.0,0.0
3550.0,0.85,0,0,0.0,STNWG,2,F,C,3,0.0,0.0,0.0
1750.0,0.32,0,0,0.0,HBACK,2,M,A,3,0.0,0.0,0.0
1480.0,0.7,0,0,0.0,HBACK,2,F,B,2,0.0,0.0,0.0
1220.0,0.39,0,0,0.0,HBACK,3,M,C,3,0.0,0.0,0.0
3140.0,0.31,0,0,0.0,UTE,2,F,A,2,0.0,0.0,0.0
1510.0,0.32,0,0,0.0,STNWG,4,M,A,4,0.0,0.0,0.0
1650.0,0.72,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0,0.0
1640.0,0.32,0,0,0.0,UTE,2,M,C,4,0.0,0.0,0.0
2170.0,0.34,0,0,0.0,STNWG,3,F,F,5,0.0,0.0,0.0
1310.0,0.32,0,0,0.0,HBACK,2,M,B,2,0.0,0.0,0.0
1160.0,0.6,1,2,739.22999954,STNWG,4,F,B,2,370.0,3.35,1239.0
770.0,0.88,0,0,0.0,SEDAN,4,F,C,5,0.0,0.0,0.0
430.0,0.32,0,0,0.0,HBACK,4,F,B,3,0.0,0.0,0.0
4980.0,0.72,0,0,0.0,STNWG,1,M,F,5,0.0,0.0,0.0
1720.0,0.91,0,0,0.0,SEDAN,2,F,D,6,0.0,0.0,0.0
2470.0,0.67,0,0,0.0,HDTOP,3,M,D,2,0.0,0.0,0.0
4170.0,0.72,0,0,0.0,STNWG,2,F,C,2,0.0,0.0,0.0
1130.0,0.23,0,0,0.0,SEDAN,3,M,B,6,0.0,0.0,0.0
670.0,0.03,0,0,0.0,HBACK,4,F,A,5,0.0,0.0,0.0
3560.0,0.91,1,1,3230.5999985,MCARA,3,M,F,4,3231.0,1.1,3565.0
2560.0,0.32,0,0,0.0,STNWG,2,F,A,3,0.0,0.0,0.0
1360.0,0.23,0,0,0.0,HBACK,1,F,C,5,0.0,0.0,0.0
3999.0,1.0,0,0,0.0,SEDAN,1,M,C,1,0.0,0.0,0.0
1640.0,0.09,0,0,0.0,HBACK,2,F,A,4,0.0,0.0,0.0
2150.0,0.65,1,1,200.0,SEDAN,3,F,A,5,200.0,1.53,306.0
890.0,0.23,0,0,0.0,HBACK,3,M,C,2,0.0,0.0,0.0
3030.0,0.9,1,1,200.0,TRUCK,1,M,C,1,200.0,1.11,221.0
2410.0,0.34,1,1,407.83999968,STNWG,3,M,E,1,408.0,2.95,1201.0
730.0,0.77,0,0,0.0,SEDAN,4,M,E,5,0.0,0.0,0.0
820.0,0.46,0,0,0.0,HDTOP,4,F,F,1,0.0,0.0,0.0
1390.0,0.09,0,0,0.0,SEDAN,3,M,A,2,0.0,0.0,0.0
2540.0,0.34,0,0,0.0,HDTOP,3,M,C,5,0.0,0.0,0.0
760.0,0.34,0,0,0.0,SEDAN,4,M,D,3,0.0,0.0,0.0
410.0,0.23,0,0,0.0,HBACK,4,M,A,5,0.0,0.0,0.0
3599.0,0.58,0,0,0.0,STNWG,1,F,B,3,0.0,0.0,0.0
1980.0,0.31,0,0,0.0,SEDAN,3,F,A,3,0.0,0.0,0.0
760.0,0.23,0,0,0.0,SEDAN,4,F,A,3,0.0,0.0,0.0
530.0,0.23,0,0,0.0,HBACK,4,F,B,3,0.0,0.0,0.0
1860.0,0.34,0,0,0.0,STNWG,2,F,B,4,0.0,0.0,0.0
220.0,0.29,0,0,0.0,HBACK,4,M,C,6,0.0,0.0,0.0
1650.0,0.72,0,0,0.0,SEDAN,3,F,F,3,0.0,0.0,0.0
1330.0,0.22,0,0,0.0,HBACK,3,F,A,6,0.0,0.0,0.0
850.0,0.31,0,0,0.0,HBACK,3,F,A,3,0.0,0.0,0.0
1970.0,0.62,0,0,0.0,STNWG,3,M,D,5,0.0,0.0,0.0
1150.0,0.02,0,0,0.0,HBACK,4,F,A,4,0.0,0.0,0.0
2650.0,0.29,0,0,0.0,SEDAN,1,M,A,5,0.0,0.0,0.0
450.0,0.62,0,0,0.0,HBACK,4,F,B,6,0.0,0.0,0.0
450.0,0.62,0,0,0.0,HBACK,4,F,A,6,0.0,0.0,0.0
670.0,0.62,0,0,0.0,SEDAN,4,F,D,5,0.0,0.0,0.0
1300.0,0.65,0,0,0.0,HBACK,2,F,C,5,0.0,0.0,0.0
590.0,0.62,0,0,0.0,COUPE,4,F,A,4,0.0,0.0,0.0
1550.0,0.62,0,0,0.0,SEDAN,2,F,E,5,0.0,0.0,0.0
1560.0,0.25,0,0,0.0,SEDAN,1,F,D,5,0.0,0.0,0.0
410.0,0.62,0,0,0.0,SEDAN,4,F,A,5,0.0,0.0,0.0
1720.0,0.65,0,0,0.0,SEDAN,2,F,B,6,0.0,0.0,0.0
440.0,0.62,0,0,0.0,SEDAN,4,M,D,6,0.0,0.0,0.0
2580.0,0.62,0,0,0.0,STNWG,3,M,D,6,0.0,0.0,0.0
1840.0,0.23,0,0,0.0,PANVN,1,M,C,3,0.0,0.0,0.0
220.0,0.62,0,0,0.0,HBACK,4,F,B,5,0.0,0.0,0.0
1720.0,0.62,1,1,1619.829998,STNWG,2,F,A,6,1620.0,1.62,2630.0
3050.0,0.23,0,0,0.0,STNWG,2,F,F,2,0.0,0.0,0.0
1850.0,0.34,0,0,0.0,SEDAN,1,F,D,5,0.0,0.0,0.0
3210.0,0.62,0,0,0.0,STNWG,1,M,B,4,0.0,0.0,0.0
890.0,0.62,0,0,0.0,STNWG,4,M,C,6,0.0,0.0,0.0
1980.0,0.38,0,0,0.0,SEDAN,2,M,A,2,0.0,0.0,0.0
520.0,0.38,0,0,0.0,SEDAN,4,F,A,6,0.0,0.0,0.0
1920.0,0.62,1,1,1010.9199982,STNWG,4,M,A,5,1011.0,1.62,1641.0
1150.0,0.62,0,0,0.0,HBACK,3,F,C,2,0.0,0.0,0.0
500.0,0.62,0,0,0.0,STNWG,4,F,C,3,0.0,0.0,0.0
6540.0,0.23,0,0,0.0,STNWG,1,F,D,4,0.0,0.0,0.0
5140.0,0.62,0,0,0.0,STNWG,1,M,B,6,0.0,0.0,0.0
670.0,0.62,0,0,0.0,SEDAN,4,F,C,4,0.0,0.0,0.0
1390.0,0.38,0,0,0.0,SEDAN,3,M,C,2,0.0,0.0,0.0
4650.0,0.38,0,0,0.0,STNWG,1,F,E,3,0.0,0.0,0.0
1430.0,0.38,0,0,0.0,SEDAN,3,F,D,2,0.0,0.0,0.0
430.0,0.38,0,0,0.0,SEDAN,4,F,C,2,0.0,0.0,0.0
1020.0,0.62,0,0,0.0,SEDAN,3,F,B,5,0.0,0.0,0.0
1510.0,0.18,0,0,0.0,SEDAN,3,F,B,2,0.0,0.0,0.0
2649.0,0.26,1,1,9424.3499756,TRUCK,1,M,A,1,9424.0,3.89,36620.0
1310.0,0.62,0,0,0.0,STNWG,4,M,D,3,0.0,0.0,0.0
2480.0,0.42,0,0,0.0,STNWG,3,M,C,1,0.0,0.0,0.0
1740.0,0.26,0,0,0.0,SEDAN,2,F,A,2,0.0,0.0,0.0
1620.0,0.09,0,0,0.0,STNWG,4,F,F,3,0.0,0.0,0.0
5430.0,0.62,0,0,0.0,STNWG,1,F,C,3,0.0,0.0,0.0
650.0,0.62,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0,0.0
350.0,0.62,0,0,0.0,SEDAN,4,M,E,5,0.0,0.0,0.0
3730.0,0.62,0,0,0.0,STNWG,2,M,A,5,0.0,0.0,0.0
1610.0,0.34,0,0,0.0,SEDAN,2,F,C,4,0.0,0.0,0.0
820.0,0.62,0,0,0.0,HBACK,4,F,A,6,0.0,0.0,0.0
1330.0,0.62,0,0,0.0,TRUCK,4,M,F,1,0.0,0.0,0.0
780.0,0.34,0,0,0.0,HBACK,3,F,C,4,0.0,0.0,0.0
3980.0,0.62,0,0,0.0,STNWG,2,F,C,2,0.0,0.0,0.0
950.0,0.62,0,0,0.0,HDTOP,4,M,A,6,0.0,0.0,0.0
1140.0,0.38,0,0,0.0,SEDAN,4,F,B,3,0.0,0.0,0.0
530.0,0.62,0,0,0.0,SEDAN,4,F,D,5,0.0,0.0,0.0
1500.0,0.62,0,0,0.0,STNWG,4,M,A,3,0.0,0.0,0.0
1760.0,0.62,0,0,0.0,STNWG,2,M,C,3,0.0,0.0,0.0
1000.0,0.31,0,0,0.0,HBACK,2,M,B,4,0.0,0.0,0.0
1220.0,0.62,0,0,0.0,HBACK,3,M,A,4,0.0,0.0,0.0
2820.0,0.38,0,0,0.0,STNWG,3,F,C,3,0.0,0.0,0.0
2130.0,0.9,0,0,0.0,HDTOP,2,F,A,2,0.0,0.0,0.0
1010.0,0.28,0,0,0.0,STNWG,4,M,B,6,0.0,0.0,0.0
1840.0,0.62,0,0,0.0,SEDAN,2,F,A,6,0.0,0.0,0.0
3110.0,0.38,0,0,0.0,TRUCK,3,M,C,3,0.0,0.0,0.0
390.0,0.62,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0,0.0
1010.0,0.09,0,0,0.0,HBACK,3,F,E,1,0.0,0.0,0.0
2580.0,0.62,0,0,0.0,STNWG,3,M,C,5,0.0,0.0,0.0
510.0,0.62,0,0,0.0,SEDAN,4,F,A,4,0.0,0.0,0.0
1020.0,0.62,0,0,0.0,SEDAN,3,F,C,6,0.0,0.0,0.0
1630.0,0.65,0,0,0.0,HBACK,2,F,C,5,0.0,0.0,0.0
840.0,0.62,0,0,0.0,HBACK,3,F,C,4,0.0,0.0,0.0
2340.0,0.62,0,0,0.0,HBACK,3,M,C,5,0.0,0.0,0.0
1860.0,0.62,1,1,238.64000034,SEDAN,2,F,C,3,239.0,1.62,387.0
7200.0,0.62,0,0,0.0,SEDAN,3,F,D,6,0.0,0.0,0.0
460.0,0.62,0,0,0.0,STNWG,4,F,A,4,0.0,0.0,0.0
1660.0,0.9,0,0,0.0,STNWG,3,F,A,3,0.0,0.0,0.0
3710.0,0.77,0,0,0.0,STNWG,1,F,C,3,0.0,0.0,0.0
1620.0,0.62,0,0,0.0,STNWG,4,F,F,3,0.0,0.0,0.0
580.0,0.62,0,0,0.0,COUPE,4,F,B,4,0.0,0.0,0.0
3060.0,0.62,0,0,0.0,STNWG,3,F,F,4,0.0,0.0,0.0
1170.0,0.77,0,0,0.0,SEDAN,3,F,D,1,0.0,0.0,0.0
980.0,0.62,0,0,0.0,SEDAN,3,F,B,3,0.0,0.0,0.0
1020.0,0.62,0,0,0.0,HBACK,4,F,B,2,0.0,0.0,0.0
1400.0,0.62,0,0,0.0,SEDAN,3,F,A,4,0.0,0.0,0.0
2970.0,0.1,0,0,0.0,STNWG,1,M,F,4,0.0,0.0,0.0
1780.0,0.62,0,0,0.0,SEDAN,2,F,C,2,0.0,0.0,0.0
410.0,0.34,0,0,0.0,HBACK,4,F,B,3,0.0,0.0,0.0
2740.0,0.94,0,0,0.0,STNWG,2,M,C,3,0.0,0.0,0.0
5299.0,0.38,0,0,0.0,STNWG,1,F,D,3,0.0,0.0,0.0
1420.0,0.25,0,0,0.0,HBACK,1,M,C,3,0.0,0.0,0.0
2009.9999999999998,0.62,0,0,0.0,HDTOP,3,M,E,5,0.0,0.0,0.0
1540.0,0.62,1,1,200.0,STNWG,2,F,B,3,200.0,1.62,325.0
4000.0,0.62,0,0,0.0,STNWG,2,F,A,4,0.0,0.0,0.0
1300.0,0.65,0,0,0.0,HBACK,2,M,C,4,0.0,0.0,0.0
1340.0,0.17,0,0,0.0,HBACK,2,F,B,3,0.0,0.0,0.0
1670.0,0.38,0,0,0.0,STNWG,2,F,E,5,0.0,0.0,0.0
1880.0,0.75,1,1,369.17999983,PANVN,3,M,D,3,369.0,1.33,492.0
1030.0,0.34,0,0,0.0,HBACK,3,F,D,4,0.0,0.0,0.0
1430.0,0.23,0,0,0.0,TRUCK,4,M,D,1,0.0,0.0,0.0
890.0,0.68,1,1,353.76999998,SEDAN,3,F,D,3,354.0,1.46,517.0
1130.0,0.09,0,0,0.0,STNWG,4,F,B,2,0.0,0.0,0.0
1900.0,0.19,0,0,0.0,PANVN,3,M,C,5,0.0,0.0,0.0
2110.0,0.87,0,0,0.0,HBACK,2,F,C,3,0.0,0.0,0.0
1820.0,0.75,0,0,0.0,UTE,1,M,D,4,0.0,0.0,0.0
0.0,1.0,0,0,0.0,BUS,3,M,F,5,0.0,0.0,0.0
3030.0,0.75,0,0,0.0,STNWG,1,M,D,3,0.0,0.0,0.0
3700.0,0.42,0,0,0.0,STNWG,3,M,C,1,0.0,0.0,0.0
2220.0,0.39,0,0,0.0,HDTOP,3,F,C,2,0.0,0.0,0.0
2150.0,0.65,0,0,0.0,SEDAN,3,F,A,4,0.0,0.0,0.0
580.0,0.65,0,0,0.0,HBACK,4,M,A,3,0.0,0.0,0.0
1530.0,0.63,0,0,0.0,STNWG,4,M,A,4,0.0,0.0,0.0
1550.0,0.65,0,0,0.0,HBACK,2,F,C,2,0.0,0.0,0.0
1120.0,0.65,0,0,0.0,STNWG,4,M,A,3,0.0,0.0,0.0
480.0,0.93,0,0,0.0,HBACK,4,F,A,6,0.0,0.0,0.0
1670.0,0.09,0,0,0.0,TRUCK,1,M,B,2,0.0,0.0,0.0
1020.0,0.64,0,0,0.0,HBACK,3,M,C,4,0.0,0.0,0.0
1640.0,0.25,0,0,0.0,STNWG,4,M,C,3,0.0,0.0,0.0
2009.9999999999998,0.56,0,0,0.0,TRUCK,3,M,F,5,0.0,0.0,0.0
850.0,0.93,0,0,0.0,HBACK,3,F,B,4,0.0,0.0,0.0
1420.0,0.65,0,0,0.0,HBACK,1,F,C,6,0.0,0.0,0.0
2750.0,0.25,0,0,0.0,STNWG,3,F,B,3,0.0,0.0,0.0
1660.0,0.13,0,0,0.0,SEDAN,2,M,F,3,0.0,0.0,0.0
1660.0,0.23,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0,0.0
1180.0,0.22,0,0,0.0,STNWG,4,F,B,3,0.0,0.0,0.0
950.0,0.72,0,0,0.0,SEDAN,4,F,C,6,0.0,0.0,0.0
1770.0,0.64,0,0,0.0,SEDAN,2,M,C,4,0.0,0.0,0.0
1300.0,0.72,0,0,0.0,HBACK,1,F,B,3,0.0,0.0,0.0
650.0,0.79,0,0,0.0,MIBUS,4,F,B,5,0.0,0.0,0.0
730.0,0.91,0,0,0.0,SEDAN,4,M,C,6,0.0,0.0,0.0
1120.0,0.5,0,0,0.0,HBACK,2,F,B,1,0.0,0.0,0.0
980.0,0.23,0,0,0.0,HBACK,3,F,E,6,0.0,0.0,0.0
1399.0,0.77,0,0,0.0,HBACK,1,F,B,5,0.0,0.0,0.0
1310.0,0.2,0,0,0.0,UTE,4,M,C,5,0.0,0.0,0.0
1760.0,0.23,0,0,0.0,SEDAN,1,F,E,1,0.0,0.0,0.0
1420.0,0.9,0,0,0.0,HBACK,1,F,C,3,0.0,0.0,0.0
410.0,0.23,0,0,0.0,SEDAN,4,F,E,2,0.0,0.0,0.0
4000.0,0.23,0,0,0.0,STNWG,2,M,C,3,0.0,0.0,0.0
1190.0,0.09,0,0,0.0,UTE,4,M,B,4,0.0,0.0,0.0
470.0,0.75,0,0,0.0,HBACK,4,F,C,1,0.0,0.0,0.0
2009.9999999999998,0.03,0,0,0.0,UTE,3,F,F,3,0.0,0.0,0.0
1550.0,0.91,0,0,0.0,HDTOP,4,M,D,1,0.0,0.0,0.0
1450.0,0.2,0,0,0.0,SEDAN,2,F,D,2,0.0,0.0,0.0
1200.0,0.09,0,0,0.0,HBACK,2,M,C,1,0.0,0.0,0.0
1030.0,0.23,0,0,0.0,STNWG,3,F,A,1,0.0,0.0,0.0
1890.0,0.85,0,0,0.0,STNWG,2,F,A,6,0.0,0.0,0.0
2000.0,0.3,0,0,0.0,SEDAN,1,M,B,4,0.0,0.0,0.0
1730.0,0.25,0,0,0.0,SEDAN,2,M,F,3,0.0,0.0,0.0
1070.0,0.23,0,0,0.0,SEDAN,3,F,D,2,0.0,0.0,0.0
2720.0,0.25,0,0,0.0,SEDAN,1,F,A,3,0.0,0.0,0.0
3220.0,0.85,0,0,0.0,UTE,1,M,C,3,0.0,0.0,0.0
450.0,0.24,0,0,0.0,COUPE,4,F,E,4,0.0,0.0,0.0
480.0,0.05,0,0,0.0,SEDAN,4,F,C,6,0.0,0.0,0.0
1220.0,0.61,0,0,0.0,HBACK,3,M,C,4,0.0,0.0,0.0
3190.0,1.0,0,0,0.0,HBACK,2,F,A,4,0.0,0.0,0.0
2790.0,0.38,0,0,0.0,SEDAN,1,F,C,2,0.0,0.0,0.0
900.0,0.85,0,0,0.0,SEDAN,4,M,A,2,0.0,0.0,0.0
6100.0,0.25,0,0,0.0,SEDAN,1,M,C,5,0.0,0.0,0.0
4460.0,0.19,1,1,989.91999817,COUPE,2,M,B,2,990.0,5.22,5165.0
4560.0,0.65,0,0,0.0,MIBUS,2,M,C,3,0.0,0.0,0.0
1480.0,0.2,0,0,0.0,HBACK,1,F,C,5,0.0,0.0,0.0
2330.0,0.85,0,0,0.0,SEDAN,2,M,C,5,0.0,0.0,0.0
2670.0,0.25,0,0,0.0,STNWG,3,F,D,4,0.0,0.0,0.0
1590.0,0.03,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0,0.0
4320.0,0.65,1,1,736.84999847,STNWG,2,M,A,5,737.0,1.55,1140.0
1050.0,0.54,0,0,0.0,HBACK,2,M,C,3,0.0,0.0,0.0
1060.0,0.93,0,0,0.0,STNWG,3,M,E,4,0.0,0.0,0.0
6070.0,0.25,0,0,0.0,STNWG,1,M,E,3,0.0,0.0,0.0
5590.0,0.85,1,1,369.14999962,STNWG,1,M,C,3,369.0,1.17,434.0
1440.0,0.67,1,1,500.0,UTE,4,M,F,2,500.0,1.5,752.0
1410.0,0.07,0,0,0.0,HBACK,2,F,C,6,0.0,0.0,0.0
470.0,0.2,0,0,0.0,SEDAN,4,M,A,3,0.0,0.0,0.0
1840.0,0.35,0,0,0.0,STNWG,4,F,B,4,0.0,0.0,0.0
2810.0,0.85,1,1,353.76999998,STNWG,1,M,C,3,354.0,1.17,415.0
2550.0,0.25,0,0,0.0,SEDAN,1,F,C,5,0.0,0.0,0.0
3010.0,0.85,0,0,0.0,STNWG,2,M,E,4,0.0,0.0,0.0
1600.0,0.25,0,0,0.0,HBACK,2,F,D,4,0.0,0.0,0.0
1590.0,0.77,0,0,0.0,PANVN,3,F,D,5,0.0,0.0,0.0
2009.9999999999998,0.65,0,0,0.0,HDTOP,3,F,D,2,0.0,0.0,0.0
1430.0,0.65,0,0,0.0,STNWG,4,F,D,6,0.0,0.0,0.0
730.0,0.4,0,0,0.0,SEDAN,4,F,B,3,0.0,0.0,0.0
790.0,0.24,0,0,0.0,SEDAN,4,F,C,4,0.0,0.0,0.0
1490.0,0.35,0,0,0.0,HBACK,2,F,C,4,0.0,0.0,0.0
